;seg;badseg;meanamp_ROI;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
1;1;;18.7335;0.0;Fahrrad;0.38386041439476554;0.05263157894736842;0.5;0.04509397438913586;
2;2;;17.6451;0.0;Automobil;0.30861504907306436;0.09210526315789473;0.75;0.016525270873219595;
3;3;;3.7510000000000003;0.0;S-Bahn;0.09814612868047982;0.17105263157894737;0.375;0.01112938996217161;
4;4;;-7.2244;0.0;Kutsche;0.17829880043620502;0.4605263157894737;0.5;0.005114996117899555;
5;5;;12.0652;0.0;Karren;0.27699018538713194;0.7236842105263158;0.375;0.003074151063608579;
6;6;;15.4681;0.0;U-Bahn;0.0916030534351145;0.15789473684210525;0.375;0.0037775582472021484;
7;7;;15.7594;0.0;Nachtzug;0.026717557251908396;0.05263157894736842;0.625;0.002099435280541868;
8;8;;-10.2804;0.0;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.0353577725775598;
9;9;;-8.2173;0.0;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.00915291641129244;
10;10;;3.7837;0.0;Topf;0.520174482006543;0.5789473684210527;0.125;0.013346914565600793;
11;11;;-2.8293;0.0;Backform;0.0016357688113413304;0.05263157894736842;0.625;0.0031941960739762755;
12;12;;-2.1512;0.0;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.004708282806870773;
13;13;;0.3116;0.0;Gabel;0.7382769901853872;0.881578947368421;0.25;0.005491270727729182;
14;14;;-2.9015;0.0;Schwein;0.5327153762268266;0.40789473684210525;0.5;0.0749754728345486;
15;15;;-16.5375;0.0;BÃ¼ffel;0.0866957470010905;0.19736842105263158;0.375;0.03018715229234409;
16;16;;0.45399999999999996;0.0;Panther;0.11504907306434024;0.2894736842105263;0.5;0.009294482924402964;
17;17;;-11.7548;0.0;KÃ¤nguru;0.0;0.02631578947368421;0.5;0.005921589314861499;
18;18;;5.9278;0.0;Maultier;0.06924754634678298;0.11842105263157894;0.625;0.004067074643891866;
19;19;;-3.4301;0.0;Maulwurf;0.1019629225736096;0.06578947368421052;0.625;0.0029013749198716337;
20;20;;-1.5295;0.0;Elefant;0.1663031624863686;0.10526315789473684;0.5;0.002109387842616774;
21;21;;20.0851;0.0;Giraffe;0.025627044711014176;0.06578947368421052;0.5;0.006712271305483922;
22;22;;-0.1292;0.0;Zwiebel;0.346782988004362;0.11842105263157894;0.5;0.044824645643430354;
23;23;;1.8392;0.0;Spargel;0.1559432933478735;0.25;0.5;0.008705137271649113;
24;24;;12.118;0.0;Paprika;0.18484187568157034;0.06578947368421052;0.5;0.004932786213604068;
25;25;;24.0175;0.0;Tomate;0.10141766630316248;0.07894736842105263;0.375;0.0032482090311718188;
26;26;;20.2049;0.0;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.03437699161908807;
27;27;;8.3975;0.0;Couch;0.1717557251908397;0.34210526315789475;0.25;0.033631733877446446;
28;28;;-0.6732;0.0;Ehebett;0.04525627044711014;0.05263157894736842;0.5;0.005046375771224938;
29;29;;5.3888;0.0;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.006669361975964444;
30;30;;3.1767;0.0;Esstisch;0.0005452562704471102;0.0;0.625;0.002524391018675166;
31;31;;-1.5523;0.0;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.0018357370130140378;
32;32;;12.2508;0.0;Regal;0.19193020719738277;0.5263157894736842;0.25;0.0013435178152499075;
33;33;;-13.9679;0.0;FÃ¤hre;0.11559432933478735;0.4342105263157895;0.25;0.028160699265842457;
34;34;;13.455;0.034482758620689655;Nachtzug;0.026717557251908396;0.05263157894736842;0.625;0.0246254037913726;
35;35;;-1.8787;0.034482758620689655;S-Bahn;0.09814612868047982;0.17105263157894737;0.375;0.006329741487273093;
36;36;;19.6765;0.034482758620689655;Fahrrad;0.38386041439476554;0.05263157894736842;0.5;0.0024546921952743805;
37;37;;-6.4517;0.0;Kartoffel;0.2050163576881134;0.05263157894736842;0.75;0.01767120555437846;
38;38;;25.1981;0.0;GrÃ¼nkohl;0.03544165757906216;0.02631578947368421;0.625;0.045737175566390356;
39;39;;11.4542;0.034482758620689655;Spargel;0.1559432933478735;0.25;0.5;0.005271707145196799;
40;40;;12.4201;0.0;Spinat;0.15921483097055616;0.15789473684210525;0.375;0.003591110108788711;
41;41;;-0.4582;0.0;Schlucht;0.25572519083969464;0.15789473684210525;0.625;0.1654349896543644;
42;42;;-5.1695;0.0;Sumpf;0.2862595419847328;0.25;0.25;0.013743322026502677;
43;43;;11.6971;0.0;Gebirge;0.7050163576881134;0.14473684210526316;0.5;0.007335161274671956;
44;44;;5.1979999999999995;0.0;Strand;0.5354416575790621;0.15789473684210525;0.375;0.004742885569432829;
45;45;;20.2295;0.0;Steppe;0.2039258451472192;0.21052631578947367;0.375;0.0033050153721107234;
46;46;;-3.8301;0.0;Savanne;0.020719738276990186;0.06578947368421052;0.5;0.0023851443932301213;
47;47;;10.0066;0.0;Salzsee;0.012540894220283533;0.02631578947368421;0.5;0.049014166371279116;
48;48;;1.8941;0.0;Gazelle;0.025081788440567066;0.14473684210526316;0.5;0.07328723407967193;
49;49;;16.9152;0.034482758620689655;Maulwurf;0.1019629225736096;0.06578947368421052;0.625;0.01314279775080859;
50;50;;16.6172;0.034482758620689655;KÃ¤nguru;0.0;0.02631578947368421;0.5;0.007602004996203667;
51;51;;-6.2996;0.034482758620689655;BÃ¼ffel;0.0866957470010905;0.19736842105263158;0.375;0.00882633692469603;
52;52;;7.0217;0.0;Ahorn;0.028898582333696837;0.23684210526315788;0.25;0.06010452707472083;
