;seg;badseg;meanamp_ROI;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
1;1;;14.3919;1;Schneebesen;32;0.5;11;0.04197526300269941;
2;2;;11.2669;1;Backblech;16;0.5;9;0.01706112145405726;
3;3;;-4.0015;1;Tasse;1370;38.0;5;0.010850006719580562;
4;4;;2.8344;1;Topf;955;22.0;4;0.005447405020715375;
5;5;;-6.1463;1;Hocker;218;20.5;6;0.020442967103434313;
6;6;;6.5239;1;Sessel;1835;20.5;6;0.00794613728060612;
7;7;;14.7155;1;Esstisch;2;0.0;8;0.004075705082704317;
8;8;;5.3654;1;Lehnstuhl;320;2.0;9;0.003246057611515236;
9;9;;19.7046;1;Schrank;1262;11.0;7;0.0018865242429755569;
10;10;;4.2435;1;Truhe;318;10.5;5;0.0011943260060230444;
11;11;;5.546;1;Ehebett;84;2.0;7;0.0007385739330580478;
12;12;;0.8513;1;Couch;316;13.0;5;0.0016582924969006263;
13;13;;6.6739999999999995;1;Schlucht;470;6.0;8;0.05420440376771851;
14;14;;18.379;1;Savanne;39;2.5;7;0.012891413062834796;
15;15;;8.8863;1;Gebirge;1294;5.5;7;0.006695307843690903;
16;16;;7.8375;1;Urwald;347;5.5;6;0.004130986219349867;
17;17;;-5.9865;1;Sumpf;526;9.5;5;0.0027364270264321;
18;18;;1.4781;1;Lagune;146;3.5;6;0.016680623982531458;
19;19;;24.2925;1;Fichte;896;21.5;6;0.06677645110053115;
20;20;;10.0975;1;Zypresse;18;1.5;8;0.01267343108327617;
21;21;;13.9167;1;Esche;99;23.0;5;0.0068329705375030705;
22;22;;21.572;1;Ahorn;54;9.0;5;0.004369598877265488;
23;23;;11.6459;1;Akazie;33;0.5;6;0.002985732001734988;
24;24;;13.3308;1;Eiche;379;26.0;5;0.0020985422896867795;
25;25;;10.7778;1;Rotbuche;18;1.5;8;0.001485575396784687;
26;26;;-7.5348;1;LÃ¶ffel;1258;3.5;6;0.04565695111303917;
27;27;;-15.2216;1;Tortenheber;12;0.0;11;0.011390157661653357;
28;28;;1.0935;1;Kuchenform;8;1.0;10;0.00527091747316663;
29;29;;15.2411;2;Tasse;1370;38.0;5;0.019418514893394773;
30;30;;14.038;1;Backform;4;2.0;8;0.0024930489027449247;
31;31;;-4.574;1;Gabel;1355;33.5;5;0.003930476626457007;
32;32;;15.3423;2;Backblech;16;0.5;9;0.0013695774218765223;
33;33;;6.4664;2;Topf;955;22.0;4;0.004870431695850512;
34;34;;6.1776;2;Ahorn;54;9.0;5;0.011152550963430288;
35;35;;-0.1432;1;Ulme;48;13.5;4;0.006452273160134449;
36;36;;-0.9199;2;Rotbuche;18;1.5;8;0.0042079429379447844;
37;37;;16.2501;2;Eiche;379;26.0;5;0.00289718682217838;
38;38;;0.3195;1;MeiÃel;114;9.5;6;0.03831771386179681;
39;39;;8.3028;1;Amboss;1;2.0;6;0.00509189153245475;
40;40;;6.5962;1;Zollstock;46;1.0;9;0.0030258646654950845;
41;41;;9.2399;1;Bohrer;138;10.0;6;0.002021182088167538;
42;42;;3.3802;1;SÃ¤ge;242;22.0;4;0.0013937510193499504;
43;43;;5.9237;1;Rohrzange;3;0.0;9;0.0009595933153441479;
44;44;;-4.6728;2;Sumpf;526;9.5;5;0.05537462890834659;
45;45;;5.3047;2;Gebirge;1294;5.5;7;0.011495538537993977;
46;46;;17.6287;2;Urwald;347;5.5;6;0.006098893093116306;
47;47;;14.5417;2;Schlucht;470;6.0;8;0.0038527118921522475;
48;48;;10.1601;1;Handschuh;330;3.5;9;0.09274071234272496;
49;49;;10.0642;1;Jackett;281;5.0;7;0.007064858061946769;
50;50;;1.4803;1;Kopftuch;263;1.0;8;0.0038433399635889975;
51;51;;2.1168;1;Jeans;201;16.0;5;0.002467781728389266;
52;52;;2.5131;3;Topf;955;22.0;4;0.027669551793924472;
