;seg;badseg;meanamp_ROI;standard;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
30;30;;8.2766;224;0.06896551724137931;Sessel;1.0;0.5394736842105263;0.375;0.0015785809993233298;
31;31;;13.0294;224;0.06896551724137931;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0008100032916515991;
32;32;;-0.7273;225;0.034482758620689655;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.0005887070679513318;
33;33;;5.0302;223;0.034482758620689655;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.007924566367268862;
34;34;;10.3829;224;0.034482758620689655;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.010971387709397672;
35;35;;26.398000000000003;224;0.034482758620689655;Topf;0.520174482006543;0.5789473684210527;0.125;0.0047670724971288206;
36;36;;-6.2746;224;0.034482758620689655;Tasse;0.7464558342420938;1.0;0.25;0.0029935804452253163;
37;37;;-6.0886;224;0.0;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.011752826407769123;
38;38;;-33.4514;224;0.034482758620689655;Gabel;0.7382769901853872;0.881578947368421;0.25;0.003611694202352221;
39;39;;21.1266;224;0.0;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.0008749503138360957;
40;40;;-1.315;225;0.034482758620689655;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.0021562252987518417;
41;41;;19.462;222;0.0;Storch;0.12104689203925845;0.18421052631578946;0.375;0.19097099201210602;
42;42;;-20.8534;224;0.0;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.019079669011923314;
43;43;;12.1056;224;0.0;Elster;0.09378407851690294;0.3684210526315789;0.375;0.009981861497924132;
44;44;;-4.599;224;0.0;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.006451768973831471;
45;45;;-6.5816;225;0.0;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.004556931307809586;
46;46;;-14.5402;223;0.0;Esche;0.05343511450381679;0.6052631578947368;0.25;0.07467544487152898;
47;47;;-71.5477;224;0.0;Akazie;0.017448200654307525;0.013157894736842105;0.375;0.008156567262019545;
48;48;;-57.9998;224;0.0;Pappel;0.04198473282442748;0.5;0.375;0.004733231229198619;
49;49;;7.4608;224;0.0;Ulme;0.025627044711014176;0.35526315789473684;0.125;0.003258804424440453;
50;50;;-0.5103;224;0.0;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.002391516335765649;
51;51;;12.7375;224;0.0;Ahorn;0.028898582333696837;0.23684210526315788;0.25;0.0018063888473518388;
52;52;;5.848;225;0.0;Platane;0.010359869138495093;0.09210526315789473;0.5;0.001381083989659926;
53;53;;4.6836;223;0.0;Zwiebel;0.346782988004362;0.11842105263157894;0.5;0.04335747836668751;
54;54;;-7.7082;224;0.0;Rotkohl;0.03816793893129771;0.06578947368421052;0.5;0.04692013850876574;
55;55;;4.4018;224;0.0;Paprika;0.18484187568157034;0.06578947368421052;0.5;0.0022877078713292934;
56;56;;-5.0614;224;0.0;Spargel;0.1559432933478735;0.25;0.5;0.0015388316539128573;
57;57;;14.8502;224;0.0;Kohlrabi;0.07742639040348964;0.02631578947368421;0.625;0.004797617860288471;
58;58;;-28.1243;224;0.0;GrÃ¼nkohl;0.03544165757906216;0.02631578947368421;0.625;0.0024903353610331164;
59;59;;1.4258;225;0.0;Wirsing;0.025081788440567066;0.11842105263157894;0.5;0.0016118186537213486;
60;60;;-7.2575;222;0.0;Kutsche;0.17829880043620502;0.4605263157894737;0.5;0.04172941612958764;
61;61;1.0;-99.271;224;0.034482758620689655;FÃ¤hre;0.11559432933478735;0.4342105263157895;0.25;0.011819864736146417;
