;seg;badseg;meanamp_ROI;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
1;1;;-2.2881;0.0;Regal;0.19193020719738277;0.5263157894736842;0.25;0.043516449303948546;
2;2;;-8.5941;0.0;Sessel;1.0;0.5394736842105263;0.375;0.017769044713509742;
3;3;;-14.874;0.0;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.00865604269225843;
4;4;;7.4743;0.0;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.0048061118999926785;
5;5;;-19.6246;0.0;Ehebett;0.04525627044711014;0.05263157894736842;0.5;0.002877302100466509;
6;6;;-1.7498;0.0;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.003831515270600037;
7;7;;-17.0833;0.0;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0013918812884491697;
8;8;;6.1245;0.0;Couch;0.1717557251908397;0.34210526315789475;0.25;0.0019830921125158474;
9;9;;13.2076;0.0;Gabel;0.7382769901853872;0.881578947368421;0.25;0.03013490302120912;
10;10;;-19.1744;0.0;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.006833512700202467;
11;11;;-28.1624;0.0;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.006006830286371611;
12;12;;8.4232;0.0;Backform;0.0016357688113413304;0.05263157894736842;0.625;0.0023834585653316758;
13;13;;-76.5898;0.0;Topf;0.520174482006543;0.5789473684210527;0.125;0.012223376728182717;
14;14;;-3.8275;0.0;Tasse;0.7464558342420938;1.0;0.25;0.0034375138017792703;
15;15;;8.3388;0.0;Tortenheber;0.0059978189749182115;0.0;1.0;0.0030238159373323944;
16;16;;-9.6002;0.0;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.0021021237194087643;
17;17;;4.5784;0.034482758620689655;Ehebett;0.04525627044711014;0.05263157894736842;0.5;0.005198642203681348;
18;18;;20.3462;0.034482758620689655;Regal;0.19193020719738277;0.5263157894736842;0.25;0.003010570802536348;
19;19;;-3.8235;0.034482758620689655;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0019346510459598539;
20;20;;17.1582;0.0;Esstisch;0.0005452562704471102;0.0;0.625;0.0012970438648846998;
21;21;;-10.0585;0.034482758620689655;Sessel;1.0;0.5394736842105263;0.375;0.006971943505966741;
22;22;;-17.6998;0.034482758620689655;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.0026206440339513336;
23;23;;-24.500999999999998;0.0;Automobil;0.30861504907306436;0.09210526315789473;0.75;0.042177410331127665;
24;24;;15.9672;0.0;U-Bahn;0.0916030534351145;0.15789473684210525;0.375;0.027755373276799847;
25;25;;-8.016;0.0;FÃ¤hre;0.11559432933478735;0.4342105263157895;0.25;0.0034400206028056633;
26;26;;-26.855999999999998;0.0;Motorrad;0.17938931297709923;0.10526315789473684;0.625;0.0021624498297416906;
27;27;;9.915;0.0;S-Bahn;0.09814612868047982;0.17105263157894737;0.375;0.005053734187555794;
28;28;;-7.3501;0.0;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.004916185822950753;
29;29;;-9.066;0.06896551724137931;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.00280881556991634;
30;30;;8.2766;0.06896551724137931;Sessel;1.0;0.5394736842105263;0.375;0.0018310580540268594;
31;31;;13.0294;0.06896551724137931;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0010681344491996103;
32;32;;-0.7273;0.034482758620689655;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.000738358947576708;
33;33;;5.0302;0.034482758620689655;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.012424966154819944;
34;34;;10.3829;0.034482758620689655;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.014673959253888279;
35;35;;26.398000000000003;0.034482758620689655;Topf;0.520174482006543;0.5789473684210527;0.125;0.005177218530155237;
36;36;;-6.2746;0.034482758620689655;Tasse;0.7464558342420938;1.0;0.25;0.0030652328526344806;
37;37;;-6.0886;0.0;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.01607711016484719;
38;38;;-33.4514;0.034482758620689655;Gabel;0.7382769901853872;0.881578947368421;0.25;0.003672596822446792;
39;39;;21.1266;0.0;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.0008979781563683444;
40;40;;-1.315;0.034482758620689655;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.0021158637157061085;
41;41;;19.462;0.0;Storch;0.12104689203925845;0.18421052631578946;0.375;0.23824957281884335;
42;42;;-20.8534;0.0;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.018592075423236928;
43;43;;12.1056;0.0;Elster;0.09378407851690294;0.3684210526315789;0.375;0.009543854207352624;
44;44;;-4.599;0.0;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.00601025981233777;
45;45;;-6.5816;0.0;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.004115545159021119;
46;46;;-14.5402;0.0;Esche;0.05343511450381679;0.6052631578947368;0.25;0.09247934750010571;
47;47;;-71.5477;0.0;Akazie;0.017448200654307525;0.013157894736842105;0.375;0.008015400417728729;
48;48;;-57.9998;0.0;Pappel;0.04198473282442748;0.5;0.375;0.004550176471180511;
49;49;;7.4608;0.0;Ulme;0.025627044711014176;0.35526315789473684;0.125;0.003029960437910821;
50;50;;-0.5103;0.0;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.0021340623393276163;
51;51;;12.7375;0.0;Ahorn;0.028898582333696837;0.23684210526315788;0.25;0.0015351086182772854;
52;52;;5.848;0.0;Platane;0.010359869138495093;0.09210526315789473;0.5;0.0011068891987829886;
53;53;;4.6836;0.0;Zwiebel;0.346782988004362;0.11842105263157894;0.5;0.053545429566696695;
54;54;;-7.7082;0.0;Rotkohl;0.03816793893129771;0.06578947368421052;0.5;0.056949398480083596;
55;55;;4.4018;0.0;Paprika;0.18484187568157034;0.06578947368421052;0.5;0.0021249404046385623;
56;56;;-5.0614;0.0;Spargel;0.1559432933478735;0.25;0.5;0.0013542571512935324;
57;57;;14.8502;0.0;Kohlrabi;0.07742639040348964;0.02631578947368421;0.625;0.0046051004363041785;
58;58;;-28.1243;0.0;GrÃ¼nkohl;0.03544165757906216;0.02631578947368421;0.625;0.002211854935091437;
59;59;;1.4258;0.0;Wirsing;0.025081788440567066;0.11842105263157894;0.5;0.0013404902505079514;
60;60;;-7.2575;0.0;Kutsche;0.17829880043620502;0.4605263157894737;0.5;0.0654069945709198;
61;61;1.0;-99.271;0.034482758620689655;FÃ¤hre;0.11559432933478735;0.4342105263157895;0.25;0.01389114258462439;
62;62;;15.8768;0.0;Nachtzug;0.026717557251908396;0.05263157894736842;0.625;0.036910108512544317;
