;seg;badseg;meanamp_ROI;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
64;64;;34.838;0.0;Nashorn;0.0485278080697928;0.039473684210526314;0.5;0.0037861116808857835;
65;65;;15.8021;0.0;KÃ¤nguru;0.0;0.02631578947368421;0.5;0.002777558826957506;
66;66;;23.1682;0.0;Elefant;0.1663031624863686;0.10526315789473684;0.5;0.002069065050614931;
67;67;;15.1778;0.0;FÃ¤hre;0.11559432933478735;0.4342105263157895;0.25;0.14668817468123532;
68;68;;-1.8041;0.0;S-Bahn;0.09814612868047982;0.17105263157894737;0.375;0.08070048980588486;
69;69;1.0;-313.6231;0.0;Kutsche;0.17829880043620502;0.4605263157894737;0.5;0.006605870265580684;
70;70;;6.9558;0.0;Automobil;0.30861504907306436;0.09210526315789473;0.75;0.004443985563532389;
71;71;;-9.1026;0.0;Eiche;0.20610687022900764;0.6842105263157895;0.25;0.05464391905733529;
72;72;;31.8563;0.034482758620689655;Ahorn;0.028898582333696837;0.23684210526315788;0.25;0.008447894865279951;
73;73;;34.1239;0.034482758620689655;Esche;0.05343511450381679;0.6052631578947368;0.25;0.004886523370146257;
74;74;;51.1809;0.0;Zypresse;0.009269356597600873;0.039473684210526314;0.625;0.0032963633250483516;
75;75;;31.7951;0.034482758620689655;Fichte;0.48800436205016356;0.5657894736842105;0.375;0.0023525845006419784;
76;76;;29.0323;0.0;Karren;0.27699018538713194;0.7236842105263158;0.375;0.00888052225830347;
77;77;;82.7626;0.0;Dreirad;0.010359869138495093;0.039473684210526314;0.5;0.0055090328848450935;
78;78;1.0;-207.3245;0.034482758620689655;S-Bahn;0.09814612868047982;0.17105263157894737;0.375;0.012181146894673096;
79;79;;-82.4404;0.0;Nachtzug;0.026717557251908396;0.05263157894736842;0.625;0.005017850964403987;
80;80;;57.8093;0.034482758620689655;Maulwurf;0.1019629225736096;0.06578947368421052;0.625;0.016392440019343264;
81;81;;76.748;0.034482758620689655;Maultier;0.06924754634678298;0.11842105263157894;0.625;0.008045688220579739;
82;82;;3.3831;0.0;Schwein;0.5327153762268266;0.40789473684210525;0.5;0.005130687958573283;
83;83;1.0;-305.9298;0.0;Giraffe;0.025627044711014176;0.06578947368421052;0.5;0.021193496499566474;
84;84;;77.9452;0.034482758620689655;KÃ¤nguru;0.0;0.02631578947368421;0.5;0.0026520370676544605;
85;85;;24.2487;0.0;Gazelle;0.025081788440567066;0.14473684210526316;0.5;0.005083853354851489;
86;86;;0.6161;0.034482758620689655;Panther;0.11504907306434024;0.2894736842105263;0.5;0.0015683928879093453;
87;87;;31.6843;0.034482758620689655;Nashorn;0.0485278080697928;0.039473684210526314;0.5;0.0011705112681466216;
88;88;;46.758;0.034482758620689655;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.24601410668669899;
89;89;;36.3682;0.0;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.011997999915843268;
90;90;;115.1898;0.0;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.09086170178315138;
91;91;;56.5901;0.0;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.004745115921963733;
92;92;1.0;-233.6232;0.034482758620689655;Tasse;0.7464558342420938;1.0;0.25;0.006648970563647966;
93;93;;-9.4873;0.0;Gabel;0.7382769901853872;0.881578947368421;0.25;0.00748029577226504;
94;94;;-97.2886;0.034482758620689655;Topf;0.520174482006543;0.5789473684210527;0.125;0.0037597102051376598;
95;95;;-6.2091;0.034482758620689655;Pullover;0.23336968375136313;0.07894736842105263;0.625;0.15074214159765914;
96;96;;128.7534;0.034482758620689655;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.007866631452806725;
97;97;;36.8037;0.034482758620689655;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.0043946363183039495;
98;98;;134.1569;0.034482758620689655;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.002904249568627617;
99;99;;96.2373;0.034482758620689655;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.005121412585621425;
100;100;1.0;-238.6306;0.034482758620689655;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.002165471479308957;
101;101;;-33.6816;0.0;Backform;0.0016357688113413304;0.05263157894736842;0.625;0.0015593916192004897;
102;102;;48.8025;0.06896551724137931;Topf;0.520174482006543;0.5789473684210527;0.125;0.002820241195343021;
103;103;;52.0318;0.034482758620689655;Gabel;0.7382769901853872;0.881578947368421;0.25;0.007450816444752084;
104;104;;45.4628;0.034482758620689655;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.0028147477310599784;
105;105;;-80.34100000000001;0.034482758620689655;Paprika;0.18484187568157034;0.06578947368421052;0.5;0.11855256687221684;
106;106;;33.5692;0.0;Rotkohl;0.03816793893129771;0.06578947368421052;0.5;0.09893830795444823;
107;107;1.0;-284.9939;0.034482758620689655;Kohlrabi;0.07742639040348964;0.02631578947368421;0.625;0.010452540259706055;
108;108;;58.3768;0.034482758620689655;GrÃ¼nkohl;0.03544165757906216;0.02631578947368421;0.625;0.006367992595266129;
109;109;;44.1304;0.0;Spinat;0.15921483097055616;0.15789473684210525;0.375;0.003723536703426159;
110;110;;18.26;0.034482758620689655;Wirsing;0.025081788440567066;0.11842105263157894;0.5;0.0036106801865648454;
111;111;;20.4593;0.06896551724137931;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.01055916375539691;
112;112;;18.323;0.034482758620689655;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.004548465076292183;
113;113;;19.9099;0.06896551724137931;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.00324790886154403;
114;114;1.0;-326.9233;0.10344827586206896;Topf;0.520174482006543;0.5789473684210527;0.125;0.004717245460234363;
115;115;;65.156;0.06896551724137931;Gabel;0.7382769901853872;0.881578947368421;0.25;0.007376421429102986;
116;116;;45.8082;0.06896551724137931;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.003394378739414158;
117;117;;-107.1966;0.0;Tortenheber;0.0059978189749182115;0.0;1.0;0.0021750629043745273;
118;118;;54.5254;0.034482758620689655;Backform;0.0016357688113413304;0.05263157894736842;0.625;0.0011014216947444887;
119;119;;20.0178;0.0;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.12934215449487924;
120;120;;-8.5447;0.0;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.00542584909058076;
121;121;;-43.3215;0.0;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.0031240081494879673;
122;122;;7.841;0.0;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.13039759755150412;
123;123;;11.3772;0.06896551724137931;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.0309655118969742;
124;124;;-12.6192;0.0;Halstuch;0.06706652126499454;0.013157894736842105;0.625;0.00626619904146186;
125;125;;-13.2185;0.034482758620689655;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.0033976280452504225;
126;126;;-50.1274;0.0;Jeans;0.10905125408942203;0.42105263157894735;0.25;0.0021864558787940175;
127;127;;-4.9555;0.034482758620689655;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.0015001084928889543;
128;128;1.0;-267.0999;0.034482758620689655;Bluse;0.3495092693565976;0.3684210526315789;0.25;0.0010549577474409815;
129;129;;84.8203;0.0;Sessel;1.0;0.5394736842105263;0.375;0.009874843504907575;
130;130;;42.4707;0.034482758620689655;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.0022964009571079373;
131;131;;41.7896;0.0;Regal;0.19193020719738277;0.5263157894736842;0.25;0.0015355168290789266;
132;132;1.0;-253.7921;0.034482758620689655;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.0010643185646175835;
133;133;;51.8973;0.034482758620689655;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0007436294868164676;
134;134;;86.2504;0.034482758620689655;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.004294753926035928;
135;135;;18.6111;0.0;Sumpf;0.2862595419847328;0.25;0.25;0.28118915750448037;
136;136;;24.4282;0.034482758620689655;Salzsee;0.012540894220283533;0.02631578947368421;0.5;0.0904992833348865;
137;137;;15.5205;0.06896551724137931;Gebirge;0.7050163576881134;0.14473684210526316;0.5;0.007652411711102752;
138;138;;2.3317;0.034482758620689655;Steppe;0.2039258451472192;0.21052631578947367;0.375;0.004809820497765667;
139;139;;54.0154;0.034482758620689655;Papagei;0.13249727371864775;0.09210526315789473;0.5;0.20361170864142045;
140;140;;10.4657;0.034482758620689655;Elster;0.09378407851690294;0.3684210526315789;0.375;0.015845506469121674;
141;141;;-20.613000000000003;0.0;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.00838504372523339;
142;142;;7.8469;0.034482758620689655;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.005398082567845032;
143;143;;21.5019;0.034482758620689655;Tortenheber;0.0059978189749182115;0.0;1.0;0.04306563360661182;
144;144;;1.4907;0.10344827586206896;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.007833724539384008;
145;145;;6.1793;0.06896551724137931;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.0077787258321082445;
146;146;;3.8509;0.06896551724137931;Backform;0.0016357688113413304;0.05263157894736842;0.625;0.003302261230001698;
147;147;;-45.5971;0.13793103448275862;Topf;0.520174482006543;0.5789473684210527;0.125;0.028684650123266115;
148;148;;-13.5091;0.06896551724137931;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.001808949464836849;
149;149;;8.1717;0.10344827586206896;Gabel;0.7382769901853872;0.881578947368421;0.25;0.0037903298470599455;
150;150;;17.7579;0.10344827586206896;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.0048342129019455235;
151;151;;22.299;0.06896551724137931;Nashorn;0.0485278080697928;0.039473684210526314;0.5;0.06928017596826094;
152;152;;6.4998;0.06896551724137931;Panther;0.11504907306434024;0.2894736842105263;0.5;0.01140124274774213;
153;153;;-4.8385;0.06896551724137931;KÃ¤nguru;0.0;0.02631578947368421;0.5;0.006871255073144023;
154;154;;-0.6501;0.034482758620689655;Gazelle;0.025081788440567066;0.14473684210526316;0.5;0.07099550129259882;
155;155;;-37.6877;0.06896551724137931;Maulwurf;0.1019629225736096;0.06578947368421052;0.625;0.0033786220843126736;
156;156;;12.9845;0.034482758620689655;Elefant;0.1663031624863686;0.10526315789473684;0.5;0.002480152322400241;
157;157;;1.237;0.034482758620689655;Ulme;0.025627044711014176;0.35526315789473684;0.125;0.11465807843575786;
158;158;;3.8868;0.034482758620689655;Eiche;0.20610687022900764;0.6842105263157895;0.25;0.008265532136941672;
159;159;;17.0351;0.06896551724137931;Fichte;0.48800436205016356;0.5657894736842105;0.375;0.004685894305132387;
160;160;;-3.7035;0.06896551724137931;Ahorn;0.028898582333696837;0.23684210526315788;0.25;0.0031221954958073708;
161;161;1.0;-142.9557;0.0;Platane;0.010359869138495093;0.09210526315789473;0.5;0.0022082688572932206;
162;162;;23.1688;0.034482758620689655;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.0016022084272330132;
163;163;;20.646;0.034482758620689655;Zypresse;0.009269356597600873;0.039473684210526314;0.625;0.0011719012599599593;
