;seg;badseg;meanamp_ROI;standard;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
1;1;;10.8428;223;0.0;Elster;0.09378407851690294;0.3684210526315789;0.375;0.04819414947014314;
2;2;;-10.0812;224;0.0;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.017701480719848412;
3;3;;-7.6466;224;0.0;Kuckuck;0.13685932388222466;0.07894736842105263;0.5;0.008827592872534878;
4;4;;-1.3016;224;0.0;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.005047094479508437;
5;5;;-17.1956;225;0.0;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.0030963739546557706;
6;6;;-2.0727;222;0.0;Zollstock;0.024536532170119956;0.02631578947368421;0.75;0.036860794645949255;
7;7;;-14.784;224;0.0;MeiÃel;0.061613958560523444;0.25;0.375;0.013846136310366918;
8;8;;-5.0808;224;0.0;Axt;0.1941112322791712;0.5921052631578947;0.0;0.0076826149164601855;
9;9;;10.7174;224;0.0;Amboss;0.0;0.05263157894736842;0.375;0.004866977652400991;
10;10;;-8.8212;224;0.0;Bohrer;0.07470010905125408;0.2631578947368421;0.375;0.003284959819169116;
11;11;;-19.3104;224;0.0;Hammer;0.5310796074154853;0.8026315789473685;0.375;0.002290620381853468;
12;12;;12.7823;224;0.0;Schaufel;0.15976008724100327;0.05263157894736842;0.625;0.0016200622476348796;
13;13;;-23.5782;225;0.0;SÃ¤ge;0.13140676117775354;0.5789473684210527;0.125;0.0011455241894017046;
14;14;;-6.0481;223;0.0;Regal;0.19193020719738277;0.5263157894736842;0.25;0.012618917523305179;
15;15;;-17.0515;224;0.0;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.004080064723201325;
16;16;;-6.2543;224;0.0;Esstisch;0.0005452562704471102;0.0;0.625;0.002351523237372976;
17;17;;3.3175;225;0.0;Sessel;1.0;0.5394736842105263;0.375;0.014100800283992644;
18;18;;-16.387;223;0.0;Halstuch;0.06706652126499454;0.013157894736842105;0.625;0.027570904216211667;
19;19;;7.843999999999999;224;0.0;Jeans;0.10905125408942203;0.42105263157894735;0.25;0.006258384050530399;
20;20;;6.3049;224;0.0;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.003353727373820122;
21;21;;-30.175;224;0.0;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.002130019722502393;
22;22;;-8.5162;224;0.0;Pullover;0.23336968375136313;0.07894736842105263;0.625;0.0014410777404747818;
23;23;;2.2568;224;0.0;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.0009955931024116986;
24;24;;-3.9861;224;0.0;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.0006836958957232873;
25;25;;3.405;225;0.0;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.00045401596128138603;
26;26;;7.1818;222;0.034482758620689655;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.04097503239249067;
27;27;;8.6941;224;0.0;Papagei;0.13249727371864775;0.09210526315789473;0.5;0.014844800610693402;
28;28;;-14.027999999999999;224;0.0;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.008573775506372623;
29;29;;-9.7849;224;0.0;Specht;0.10359869138495092;0.13157894736842105;0.375;0.00571401866702094;
30;30;;14.7723;224;0.034482758620689655;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.004073577538847027;
31;31;;15.3634;225;0.034482758620689655;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.003012015368122657;
32;32;;-6.9747;222;0.034482758620689655;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.0048950963664876924;
33;33;;-6.5469;224;0.0;Kittel;0.2677208287895311;0.6052631578947368;0.375;0.0035524908786150537;
34;34;;35.4287;224;0.0;Bluse;0.3495092693565976;0.3684210526315789;0.25;0.0026562720465911345;
35;35;;-15.3319;225;0.034482758620689655;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.0020171177429573256;
36;36;;-0.0683;223;0.0;U-Bahn;0.0916030534351145;0.15789473684210525;0.375;0.08996784120940322;
37;37;;-5.2366;224;0.0;Dreirad;0.010359869138495093;0.039473684210526314;0.5;0.007992242674699326;
38;38;;-2.804;224;0.0;Nachtzug;0.026717557251908396;0.05263157894736842;0.625;0.00800873387804959;
39;39;;21.8444;224;0.0;Motorrad;0.17938931297709923;0.10526315789473684;0.625;0.0030725653447785167;
40;40;;-14.7492;224;0.0;Automobil;0.30861504907306436;0.09210526315789473;0.75;0.0022091496407604565;
41;41;;16.4696;224;0.0;Fahrrad;0.38386041439476554;0.05263157894736842;0.5;0.0016334701586984415;
42;42;;-8.0733;225;0.0;Kutsche;0.17829880043620502;0.4605263157894737;0.5;0.001218594372480253;
43;43;;-20.8981;223;0.0;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.032069175730557925;
44;44;;12.8874;224;0.034482758620689655;Regal;0.19193020719738277;0.5263157894736842;0.25;0.003858308581583845;
45;45;;8.5911;224;0.0;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0022792385965828776;
46;46;;-9.4613;224;0.0;Couch;0.1717557251908397;0.34210526315789475;0.25;0.00534442713591389;
47;47;;15.9803;224;0.034482758620689655;Esstisch;0.0005452562704471102;0.0;0.625;0.0011407958992094688;
48;48;;15.3513;225;0.0;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.0008122578233679;
49;49;;5.0271;222;0.0;Eiche;0.20610687022900764;0.6842105263157895;0.25;0.09812185538701804;
50;50;;1.6217;224;0.0;Ulme;0.025627044711014176;0.35526315789473684;0.125;0.012949773317667997;
51;51;;-8.0521;224;0.0;Esche;0.05343511450381679;0.6052631578947368;0.25;0.007195027716531269;
52;52;;-11.5082;225;0.0;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.004735159866371073;
53;53;;-1.5193;222;0.034482758620689655;Bluse;0.3495092693565976;0.3684210526315789;0.25;0.010639523368496176;
54;54;;-24.3453;224;0.034482758620689655;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.005085468769674393;
55;55;;-0.259;224;0.034482758620689655;Halstuch;0.06706652126499454;0.013157894736842105;0.625;0.0032428239417136508;
56;56;;-10.786;225;0.034482758620689655;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.002270460472405084;
57;57;;6.4954;223;0.0;Ehebett;0.04525627044711014;0.05263157894736842;0.5;0.0027239388506423404;
58;58;;5.7636;224;0.034482758620689655;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0018244514782601474;
59;59;;10.7846;224;0.0;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.007980675602081646;
60;60;;7.3285;225;0.06896551724137931;Regal;0.19193020719738277;0.5263157894736842;0.25;0.0009869560257328596;
61;61;;1.3595;223;0.0;Topf;0.520174482006543;0.5789473684210527;0.125;0.15942570764381456;
62;62;;-7.5465;224;0.0;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.007012246910113017;
63;63;;-22.4799;224;0.0;Tasse;0.7464558342420938;1.0;0.25;0.00724082695249386;
64;64;;4.8197;224;0.0;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.05815426556817845;
65;65;;-1.0782;224;0.0;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.004891458448025731;
66;66;;4.5729;224;0.0;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.003496306464013493;
