;seg;badseg;meanamp_ROI;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
1;1;;-20.816;0.0;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.03845461163132827;
2;2;;-2.1233;0.0;Kuckuck;0.13685932388222466;0.07894736842105263;0.5;0.013996918146879181;
3;3;;4.7351;0.0;Storch;0.12104689203925845;0.18421052631578946;0.375;0.00684552362375966;
4;4;;5.3179;0.0;Specht;0.10359869138495092;0.13157894736842105;0.375;0.00380040135296892;
5;5;;-7.667000000000001;0.0;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.033313703610499484;
6;6;;16.5386;0.0;Kittel;0.2677208287895311;0.6052631578947368;0.375;0.012125429913104072;
7;7;;4.5573;0.0;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.006513430307080525;
8;8;;-1.1386;0.0;Halstuch;0.06706652126499454;0.013157894736842105;0.625;0.003977903959341026;
9;9;;-14.0699;0.0;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.0025726325846462416;
10;10;;-4.2976;0.0;Jeans;0.10905125408942203;0.42105263157894735;0.25;0.0017035169583934707;
11;11;;-7.2768;0.0;Pullover;0.23336968375136313;0.07894736842105263;0.625;0.001128154025376622;
12;12;;8.7745;0.0;Bluse;0.3495092693565976;0.3684210526315789;0.25;0.0007294473926926842;
13;13;;-6.7315;0.034482758620689655;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.016730534876778363;
14;14;;-9.741;0.034482758620689655;Specht;0.10359869138495092;0.13157894736842105;0.375;0.008429990835212174;
15;15;;-0.4756;0.0;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.005134920862941116;
16;16;;-7.7265;0.0;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.0033946148846017913;
17;17;;5.6949;0.034482758620689655;Storch;0.12104689203925845;0.18421052631578946;0.375;0.002335541229851502;
18;18;;-0.42100000000000004;0.0;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.0016341863925515166;
19;19;;-1.3194;0.0;Sessel;1.0;0.5394736842105263;0.375;0.03506973608021245;
20;20;;-5.5044;0.0;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.00858086007899304;
21;21;;-8.8531;0.0;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.003965164683265349;
22;22;;-17.5604;0.0;Couch;0.1717557251908397;0.34210526315789475;0.25;0.003995962283814471;
23;23;;0.9440000000000001;0.0;Regal;0.19193020719738277;0.5263157894736842;0.25;0.0020098221420595873;
24;24;;3.0762;0.0;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.002317438544240158;
25;25;;-0.8769;0.0;Esstisch;0.0005452562704471102;0.0;0.625;0.0011574541544916357;
26;26;;12.5033;0.0;Schlucht;0.25572519083969464;0.15789473684210525;0.625;0.08570761667638016;
27;27;;-7.0262;0.0;Salzsee;0.012540894220283533;0.02631578947368421;0.5;0.03315709872066779;
28;28;;-6.977;0.0;Fluss;0.0539803707742639;0.25;0.25;0.008486018700363543;
29;29;;-5.9276;0.0;Gebirge;0.7050163576881134;0.14473684210526316;0.5;0.003955485741864864;
30;30;;-6.0166;0.0;Savanne;0.020719738276990186;0.06578947368421052;0.5;0.0026987583699718373;
31;31;;-9.2404;0.0;Sumpf;0.2862595419847328;0.25;0.25;0.0018975960018934672;
32;32;;-14.0832;0.0;Zypresse;0.009269356597600873;0.039473684210526314;0.625;0.06267483375241474;
33;33;;4.6948;0.0;Eiche;0.20610687022900764;0.6842105263157895;0.25;0.009903806256334437;
34;34;;4.2199;0.0;Pappel;0.04198473282442748;0.5;0.375;0.005586870200322997;
35;35;;13.5973;0.0;Ulme;0.025627044711014176;0.35526315789473684;0.125;0.0036559310494607474;
36;36;;-14.9531;0.0;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.0025341806416130505;
37;37;;-0.623;0.0;Dreirad;0.010359869138495093;0.039473684210526314;0.5;0.0669570836967794;
38;38;;-8.3343;0.0;Karren;0.27699018538713194;0.7236842105263158;0.375;0.007954788582177593;
39;39;;4.8624;0.0;Motorrad;0.17938931297709923;0.10526315789473684;0.625;0.004483125956587331;
40;40;;7.6498;0.0;S-Bahn;0.09814612868047982;0.17105263157894737;0.375;0.036777017423053705;
41;41;;-8.9211;0.0;Automobil;0.30861504907306436;0.09210526315789473;0.75;0.002086263299974945;
42;42;;1.0745;0.0;Nachtzug;0.026717557251908396;0.05263157894736842;0.625;0.0043148195004180205;
43;43;;-7.1472;0.0;Fahrrad;0.38386041439476554;0.05263157894736842;0.5;0.0011316155497654514;
44;44;;-4.4102;0.0;Strand;0.5354416575790621;0.15789473684210525;0.375;0.01665666321643674;
45;45;;0.5895;0.0;Steppe;0.2039258451472192;0.21052631578947367;0.375;0.007736445611667711;
