;subject;minutes_elapsed;cost_function;tau;slope_wordreps;slope_Typefrequenz_absolut;slope_Nachbarn_mittel_absolut;slope_Typelaenge_Zeichen;slope_baysur;regr_intercept;baysur_pval;resid_var
0;1;1.8333333333333333;767335.5441916179;19.84;-0.13316780853850022;0.6238677084257396;0.7637323186583728;0.7340866959978442;-1.3233139650943806;0.7790910760930083;0.7784520652515694;256.4624145025457
1;2;1.85;309882.08451210934;19.84;-0.44165558284343825;0.9762532699632457;-0.5542340139132294;-2.326162871655618;-4.784570132207279;4.728135185183826;0.19024328139861366;103.328470994368
2;3;1.8333333333333333;320985.26809617755;19.84;2.507720814782326;-0.8101257500847956;-0.6737100787949446;-0.5270638928340484;-0.7286254390258717;-0.6829997220238161;0.8428090538627081;107.10219155694939
3;4;2.066666666666667;628480.7086382777;19.84;-0.33265484077523316;1.0514735810180342;-1.5188034303546512;3.811151314583352;-0.2648401467261746;2.4914589705543277;0.9419406076299895;210.12394137020303
4;5;2.1666666666666665;857928.7754829677;19.84;1.4369483228214723;2.7152336719254446;0.40685615571454264;-1.454304517139821;3.0977521864394424;2.850847806078515;0.4993611863683016;287.12475752442015
5;6;2.033333333333333;782674.0220614204;19.84;-1.5542448092981758;0.8271015136949325;-0.05341186158022171;0.43279497808437556;2.2547825785048152;-3.380389729610133;0.6620448227268785;261.50151087919113
6;7;1.9166666666666667;636504.3692524263;19.84;-0.5108894051191075;1.9858626130812174;-2.766869666139649;-3.1443950370966736;16.77974053621673;3.769671896959098;0.03911955471489304;212.87771546903898
7;8;1.8666666666666667;759982.1011051041;19.84;0.5267020481728484;-2.987864238428261;-4.310613118643547;-6.806412969921526;3.5688456415366767;3.9046893086849237;0.4741398504286095;255.37032967241424
8;9;1.8333333333333333;310384.6965156974;19.84;-2.8798781039538843;-0.05323805516088587;-2.137057156609341;-1.8152764953090346;-1.3676643101782795;3.915863500327696;0.6915257828534201;104.89513231351707
9;10;1.85;277977.871507669;19.84;2.3639674853416004;1.4985316430848834;-1.7103549050282192;-1.8792006926505171;-9.342997690151485;-0.7795906823721879;0.002452966359084007;94.29371489405332
10;11;1.8166666666666667;471887.30477744446;19.84;3.398053203940952;1.6704313414780545;-2.1808379383178886;-2.269138518298002;-7.418283642205571;-3.0075574724449847;0.0995693082292784;157.29576825914822
11;12;1.9166666666666667;517184.5993437271;19.84;2.00726400585883;0.8121975441457041;0.9239997633307038;-1.0182103675729275;-2.469010474820868;-0.05177030239922631;0.58105266725655;172.50987302992908
12;13;1.8333333333333333;300091.8685116571;19.84;-0.08116486103751347;-2.0086560609410657;2.3872194520533023;0.8277081396886317;-7.338030176821632;0.8125977063086731;0.05347979298640337;100.56698006422819
13;14;1.8666666666666667;369677.31773784023;19.84;0.5783374863469211;3.7179050171779426;-3.562742665496116;-1.8482602948353246;-12.632481924326893;-0.3505624242894356;0.005574348784320945;123.22577257927988
14;15;1.9166666666666667;374835.40491809254;19.84;-2.0637572597349934;-0.9612265334632236;0.19583075098553765;2.1616422971809377;-1.3817900644775256;1.5830048010879947;0.7200347732577834;124.94513497269753
15;16;1.8833333333333333;360340.13849834976;19.84;-0.6934136054431717;1.121891433381252;-0.0514911396265586;-0.6914786312213754;-9.502082735928084;-1.845188143023043;0.14128395864321275;125.29212047925913
16;17;1.85;409822.1950385872;19.84;2.970438405961155;-1.015215766416309;0.4457102590828015;1.6977216700680149;1.8217616757276334;-0.17190993436539145;0.5970815923815199;140.83236942906754
17;18;1.9166666666666667;374935.8738185591;19.84;-1.081334459286823;2.085383721885959;-0.4395768249405255;1.4874757567765793;6.271772021593697;1.3803758581650845;0.0834652932906169;134.0013844955534
18;19;1.85;324745.7893459622;19.84;2.963130282717482;-1.125092364366307;0.733740548680736;0.15511035507501233;-10.215308223776622;-3.123582233528891;0.005105463748195371;108.28469134576942
19;20;1.8833333333333333;372870.6800884238;19.84;-1.899574505909531;-0.950504792110021;-1.6146012672413697;-1.8702798799971003;1.7852107052654471;3.6085240540219083;0.6561002008243604;124.3316705863366
20;21;1.9166666666666667;426973.47032322886;19.84;0.7940104803888247;1.7242936689109427;-0.21571930295207997;-0.33032934349308907;-2.9272547319975386;-0.9721283226130489;0.4252399908248985;142.65735727471704
21;22;2.0;379945.17865282996;19.84;0.3854136422639281;-1.4923240864423954;-1.112337472301244;-1.0310949152861022;6.926223329189927;-0.9181107694703176;0.0884601329855531;127.19959111243058
22;23;1.8833333333333333;131388.6571135094;19.84;-0.6800452613411055;-0.8552640253632942;1.5136368719327895;1.098272249499886;-1.6805013908056792;-1.0210958130574543;0.3992850967648086;43.81082264538504
23;24;1.9333333333333333;485788.5262661028;19.84;0.11531223641198252;2.3322660068781866;-0.1373048457573575;0.11752735201840284;-3.197222371595353;-0.9708433387196995;0.48028955665200657;162.47107901876365
24;25;1.9333333333333333;581705.8074536681;19.84;1.5509829069948378;2.3312684864178554;-1.1852887269449828;-3.2291321786162914;-5.456954073295242;0.22630206576204098;0.2629414025611865;194.2256452266006
25;26;1.8666666666666667;360392.76158447866;19.84;-0.5965057819170436;1.0008822900838328;-1.2420305423020164;-1.3915832835443864;-0.665023344597022;1.125342075084382;0.8769744988375885;120.13092052815949
26;27;1.9;350341.3261655035;19.84;-2.038247363375639;1.7160191858495493;-2.8114859741324456;-4.535624122220556;-2.2232906271596073;5.053892107150457;0.5361478460932698;117.2494398144256
27;28;1.85;616131.108581983;19.84;1.2393275768671295;0.42746284997883943;-4.081048011817195;-3.7926359411457016;1.5567457799418425;-0.6390529120783315;0.7270382752973454;205.9261726544063
