;subject;minutes_elapsed;cost_function;optimal_tau;baysur_slope;regr_intercept
0;1;150.86666666666667;497409.1056279115;[234770.];0.0;0.062416894270975964
1;2;303.06666666666666;106898.74839116055;[234770.];0.0;3.3922414134985317
