;simufile;minutes_elapsed;cost_function;optimal_tau;baysur_slope;regr_intercept;sigmasqr
0;1;452.85;537.4692123871246;[234770.];0.0;-1.2077686728980552;
1;2;180.25;301335.56593836687;[234770.];0.0;-7.6249981433558105;
