;simufile;cost_function;tau;baysur_slope;regr_intercept;sigmasqr
0;1;1470.4109474282748;5;0.0;-0.9897359441963545;0.5082651045379457
1;1;1490.8464582203023;8;-1.7565066579876842;-0.97417661646125;0.49827755956561065
2;1;1490.659320075319;12;-1.8209824871257743;-0.9729474777394671;0.49821501339415675
3;1;1491.5438250485986;20;-1.8682924568048158;-0.9694275003116672;0.4985106367141038
4;1;1503.1996920437282;50;-1.820149336369347;-0.9594737914408142;0.502406314185738
5;1;1523.5447014664767;100;-1.3100588075762807;-0.9731644644541575;0.5092061168002943
6;1;1531.573761714382;200;-0.44377383514942564;-1.0045578111344184;0.5118896262414356
7;1;1532.0394718542116;500;0.10340160433956919;-1.0133472770833123;0.5120452780261412
8;1;1531.9618546885056;1000;0.2216223662962591;-1.0143612446488532;0.5120193364600627
9;1;788.5894913717691;2000;0.0;-1.0780904207814501;0.5137390823268858
10;1;606.8688009982387;5000;0.0;-1.1738790767932414;0.5053029150693071
11;1;572.1423854561157;10000;0.0;-1.2334587266662993;0.5072184268227974
