;simufile;minutes_elapsed;cost_function;optimal_tau;baysur_slope;regr_intercept;sigmasqr
0;1;136.5;606.8752552913959;4963.429764920268;0.0;-1.174270162462335;
1;2;398.8;349561.8707534661;4972.080554005185;0.0;-4.620288291776433;
