;subject;minutes_elapsed;cost_function;optimal_tau;baysur_slope;regr_intercept
0;1;119.95;766239.1947243236;[1156.24771118];23.761687973003724;-0.11582195586459787
1;2;117.28333333333333;309718.35433562554;[1153.50971222];12.950828494182543;5.115382045345932
