;subject;minutes_elapsed;cost_function;optimal_tau;regr_slope;regr_intercept
0;1;29.116666666666667;843795.6049863347;999.2338997650862;9.070701837834017;0.6005977118721166
1;2;28.3;456601.41221542505;120.07748917812833;-3.9195670264854163;3.970348466975248
2;3;30.083333333333332;382768.06216074305;999.0206320145028;-15.487683358832376;0.7519950781260041
3;4;37.333333333333336;746379.1227604739;88.97192576404898;1.9333472598679626;3.440712757975799
4;5;31.05;1164660.4912617058;153.76736485716765;6.847208684199606;4.042124562796294
5;6;28.666666666666668;833089.5455744988;999.2705282513218;4.639061483851944;-4.5149212800732315
6;7;30.916666666666668;818019.4200080638;999.2705282513218;-2.157037800918199;0.9539123640933796
7;8;28.683333333333334;948360.0624927948;999.1982337750171;11.84176880194108;-0.7391381152801224
8;9;28.533333333333335;332943.55111782654;999.3366600467155;6.634531628905116;1.1086870610535329
9;10;31.466666666666665;398795.1465174528;87.59885563414846;-3.0172410754424983;-0.4720091341383379
