;subject;minutes_elapsed;cost_function;tau;slope_wordreps;slope_Typefrequenz_absolut;slope_Nachbarn_mittel_absolut;slope_Typelaenge_Zeichen;slope_baysur;regr_intercept;baysur_pval;resid_var
0;1;1.8;767335.5441916179;19.84;-0.13316780853850022;0.6238677084257396;0.7637323186583728;0.7340866959978442;-1.3233139650943806;0.7790910760930083;0.7784520652515694;256.4624145025457
1;2;1.75;309882.08451210934;19.84;-0.44165558284343825;0.9762532699632457;-0.5542340139132294;-2.326162871655618;-4.784570132207279;4.728135185183826;0.19024328139861366;103.328470994368
2;3;1.7333333333333334;320985.26809617755;19.84;2.507720814782326;-0.8101257500847956;-0.6737100787949446;-0.5270638928340484;-0.7286254390258717;-0.6829997220238161;0.8428090538627081;107.10219155694939
3;4;2.033333333333333;628480.7086382777;19.84;-0.33265484077523316;1.0514735810180342;-1.5188034303546512;3.811151314583352;-0.2648401467261746;2.4914589705543277;0.9419406076299895;210.12394137020303
4;5;1.8666666666666667;857928.7754829677;19.84;1.4369483228214723;2.7152336719254446;0.40685615571454264;-1.454304517139821;3.0977521864394424;2.850847806078515;0.4993611863683016;287.12475752442015
5;6;1.95;782674.0220614204;19.84;-1.5542448092981758;0.8271015136949325;-0.05341186158022171;0.43279497808437556;2.2547825785048152;-3.380389729610133;0.6620448227268785;261.50151087919113
6;7;2.1166666666666667;636504.3692524263;19.84;-0.5108894051191075;1.9858626130812174;-2.766869666139649;-3.1443950370966736;16.77974053621673;3.769671896959098;0.03911955471489304;212.87771546903898
7;8;1.8166666666666667;759982.1011051041;19.84;0.5267020481728484;-2.987864238428261;-4.310613118643547;-6.806412969921526;3.5688456415366767;3.9046893086849237;0.4741398504286095;255.37032967241424
8;9;1.7;310384.6965156974;19.84;-2.8798781039538843;-0.05323805516088587;-2.137057156609341;-1.8152764953090346;-1.3676643101782795;3.915863500327696;0.6915257828534201;104.89513231351707
9;10;1.7;277977.871507669;19.84;2.3639674853416004;1.4985316430848834;-1.7103549050282192;-1.8792006926505171;-9.342997690151485;-0.7795906823721879;0.002452966359084007;94.29371489405332
10;11;1.7;471887.30477744446;19.84;3.398053203940952;1.6704313414780545;-2.1808379383178886;-2.269138518298002;-7.418283642205571;-3.0075574724449847;0.0995693082292784;157.29576825914822
11;12;1.7;517184.5993437271;19.84;2.00726400585883;0.8121975441457041;0.9239997633307038;-1.0182103675729275;-2.469010474820868;-0.05177030239922631;0.58105266725655;172.50987302992908
12;13;1.7833333333333334;300091.8685116571;19.84;-0.08116486103751347;-2.0086560609410657;2.3872194520533023;0.8277081396886317;-7.338030176821632;0.8125977063086731;0.05347979298640337;100.56698006422819
