;subject;minutes_elapsed;cost_function;optimal_tau;regr_slope;regr_intercept
0;1;38.016666666666666;843795.5369302217;999.9309207849113;50.79253141387975;0.6583133739181934
1;2;35.18333333333333;456601.4122154233;120.077563152774;-21.988434934275926;3.863946506163723
2;3;35.266666666666666;382767.98264386953;999.9116904438376;-86.7130399694102;0.6427955056722034
3;4;35.583333333333336;746379.122760473;88.97206837761627;10.847277524858317;3.5167555511430413
4;5;35.68333333333333;1164660.4912617053;153.76711777681805;38.38035237204141;4.205195138520221
5;6;35.516666666666666;833089.4613225226;999.9342235734549;25.97690391470742;-4.482390760149251
6;7;35.483333333333334;818019.4030371495;999.9342235734549;-12.080776810912482;0.9398637940357711
7;8;35.35;948359.9490854127;999.9277047845932;66.30412922302291;-0.6561898457809316
8;9;35.4;332943.4249153327;999.9401866737255;37.14853956542546;1.155103483090529
9;10;35.65;398795.1465174528;87.59885563414846;-16.9357322037206;-0.5858785399636015
10;11;35.88333333333333;575313.7436583841;999.9447743611961;-45.759639717297055;-2.7659287669693833
11;12;35.333333333333336;606135.8187951108;999.9379940137657;-57.240437519304926;0.8286224710148874
12;13;35.583333333333336;431168.76626016514;92.85752051045795;-12.714428708397481;1.6446403369508737
13;14;36.016666666666666;566985.8719103732;999.9342235734549;-28.892008778189464;-2.7172767919221794
14;15;35.4;548337.5834745982;190.61663985813323;-14.995615988209593;1.2801659161448447
15;16;35.733333333333334;478528.790002298;110.05037056840499;-13.228167922042706;-2.5156799478294145
16;17;35.68333333333333;465479.6004679452;999.9105338853257;72.0336435945545;2.397933320581198
17;18;32.016666666666666;447432.8799995898;40.37580404693516;13.419830531515549;1.69742716448012
18;19;28.683333333333334;439059.8743669957;81.77305233154233;-13.578109995945193;-1.7952890665266272
19;20;35.6;482096.5186780775;999.9342235734549;17.08107037383908;1.2356902105194705
20;21;33.68333333333333;565480.7168201267;150.68760034102283;-31.32563097838478;-0.7856775460992697
21;22;28.783333333333335;481395.86940945406;65.88874584300854;9.975419860014323;-2.3483955131499386
22;23;35.55;188625.59953561152;268.1482042579723;-24.400616265208846;0.08936310605920869
23;24;35.083333333333336;557096.9844094131;438.37190963803914;-6.216703790153973;-0.13880206157662867
24;25;35.516666666666666;706321.6466593569;372.16260615790554;10.517397629635742;-1.5132720604570373
25;26;35.55;432037.16020569624;999.9180928778244;-10.210841308347012;-0.6369737445957944
26;27;36.0;520647.46587910794;999.9342235734549;32.908722247227516;1.4481606328676166
27;28;35.483333333333334;735210.7873480353;999.9342235734549;-6.189850879018164;-2.8346054338495037
28;29;37.85;3515772.4662706656;999.9327875214733;244.67606116614667;-8.185171447613314
29;30;18.366666666666667;655094.027012434;255.1150173167928;-2.3056385207218835;0.745230483736031
