;subject;minutes_elapsed;cost_function;tau;slope_wordreps;slope_Typefrequenz_absolut;slope_Nachbarn_mittel_absolut;slope_Typelaenge_Zeichen;slope_baysur;regr_intercept;sigmasqr
0;1;1.9666666666666666;767307.0752902466;8.45;-0.13142432214579428;0.6245531278403322;0.7655003635684479;0.7358664691590677;-1.9202295138000671;0.7909559690776558;256.4528994954033
1;2;1.8333333333333333;309957.7960939659;8.45;-0.43575941350271696;0.9685402391578855;-0.5553803382478832;-2.3122651357551525;-3.257984441531738;4.694162882437816;103.35371660352314
2;3;1.6666666666666667;320966.96376396803;8.45;2.509294312013091;-0.8086958435053954;-0.6789620134713397;-0.5274233693037264;-1.4791180027537223;-0.6668559070836156;107.09608400532801
3;4;1.7;628383.4664719519;8.45;-0.33143278230896867;1.0739067754902645;-1.5446067769989602;3.7999680386837618;-2.2360474918186473;2.5602251133642975;210.09142977999062
4;5;1.7166666666666666;857921.517842989;8.45;1.4305667539491174;2.719886567631036;0.4023495209147659;-1.4566024244810896;2.9714206951058735;2.8603801655482646;287.12232859537784
5;6;1.6833333333333333;782718.3649566938;8.45;-1.5604683333196703;0.8553598555332501;-0.07169862362261553;0.40049722529869775;0.7268171386263916;-3.3325240376456597;261.5163264138636
6;7;1.6833333333333333;632614.9771648392;8.45;-0.4144034541251875;1.885079844190879;-2.6956476525277875;-3.2229552060299658;7.418518171898566;3.7899078145830933;214.73692368120814
7;8;1.7;760029.7022944049;8.45;0.5204995381164641;-2.977385578145353;-4.326254863556748;-6.80595253876833;2.6319823726620046;3.9290563837691286;255.38632469570055
8;9;1.6666666666666667;310379.11100429686;8.45;-2.8771281446918655;-0.05429155387982748;-2.1335270000264277;-1.814748193314799;-1.3622125409393089;3.916282803434423;104.89324467870796
9;10;1.65;277961.69903958833;8.45;2.38079269268098;1.4956851911438331;-1.7084600549118258;-1.8839983584710134;-8.126649059514047;-0.7960173395171013;94.28822898222128
10;11;1.6833333333333333;471766.9341338106;8.45;3.4067579138893844;1.670143822503979;-2.1751370843533535;-2.2567396605590537;-6.635925616844419;-3.011319284068238;157.25564471127018
11;12;1.6833333333333333;517145.32328685006;8.45;2.009707692777162;0.8197932780363879;0.9230709348399242;-1.0209372631402625;-2.90050628226744;-0.04156925783984666;172.49677227713477
12;13;1.6833333333333333;300106.99439274764;8.45;-0.0708475747293102;-2.0201596380522213;2.3836815673967084;0.8326389166826833;-6.060116890886584;0.7976111541351959;100.57204905923179
13;14;1.7166666666666666;369652.9509056434;8.45;0.6007958533583999;3.722186628038557;-3.551421193833824;-1.8243973071055126;-11.587676904622437;-0.3901674714058039;123.21765030188114
14;15;1.65;374845.252161041;8.45;-2.0602057908096443;-0.9703903753209409;0.20366546304119118;2.1692705202497193;-0.751449525771094;1.5649172303615482;124.94841738701368
15;16;1.6666666666666667;355819.6686914891;8.45;-0.7002900449399635;1.106864560059572;-0.157330646202253;-0.8925925572330606;-6.375980174173229;-1.697633880138866;126.13245965667817
16;17;1.6833333333333333;409855.27276031073;8.45;2.967764879671731;-1.0032461419637568;0.440162519613835;1.697466139956449;0.6821600278060707;-0.14160973670711918;140.84373634374938
17;18;1.65;375070.01629259845;8.45;-1.0993290390782233;2.11831291583284;-0.4693047134040127;1.459453143717868;4.606170415748345;1.4383000270746442;134.0493267664755
18;19;1.7;325005.11683892447;8.45;2.969664349011876;-1.1412336067787452;0.7425858941617046;0.15261328504526117;-7.457679070999088;-3.1651304093616544;108.37116266719723
