;seg;badseg;meanamp_ROI;standard;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
101;101;;-29.7109;225;0.034482758620689655;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.0010474056651518203;
102;102;;8.8592;222;0.0;Ahorn;0.028898582333696837;0.23684210526315788;0.25;0.05528378289345163;
103;103;;13.0747;224;0.0;Ulme;0.025627044711014176;0.35526315789473684;0.125;0.021903336955482626;
104;104;;1.0636;224;0.0;Pappel;0.04198473282442748;0.5;0.375;0.014157488210452332;
105;105;;-6.3508;225;0.034482758620689655;Platane;0.010359869138495093;0.09210526315789473;0.5;0.010454326800165252;
106;106;;-2.9056;223;0.0;Rotkohl;0.03816793893129771;0.06578947368421052;0.5;0.2531231395773378;
107;107;;25.3782;224;0.0;Paprika;0.18484187568157034;0.06578947368421052;0.5;0.015508042423778092;
108;108;;10.4218;224;0.0;Kohlrabi;0.07742639040348964;0.02631578947368421;0.625;0.020889988494997135;
109;109;;-9.7893;225;0.0;Tomate;0.10141766630316248;0.07894736842105263;0.375;0.007167259704149156;
110;110;;-8.54;222;0.0;Gabel;0.7382769901853872;0.881578947368421;0.25;0.20343374112868406;
111;111;;15.6094;224;0.034482758620689655;Topf;0.520174482006543;0.5789473684210527;0.125;0.09174312281716622;
112;112;;-10.2866;224;0.034482758620689655;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.012478043787479319;
113;113;;-16.2297;224;0.034482758620689655;Tasse;0.7464558342420938;1.0;0.25;0.019544748448429183;
114;114;;17.2118;224;0.0;Tortenheber;0.0059978189749182115;0.0;1.0;0.018711880075683158;
115;115;;-14.114;224;0.0;L̦ffel;0.6853871319520175;0.09210526315789473;0.375;0.011276041108695838;
116;116;;18.1499;225;0.0;Backform;0.0016357688113413304;0.05263157894736842;0.625;0.004278378681635563;
117;117;;-6.9535;223;0.034482758620689655;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.07043713662609548;
118;118;;5.5156;224;0.0;Sessel;1.0;0.5394736842105263;0.375;0.11846603035700393;
119;119;;11.3277;224;0.0;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.017035161411895365;
120;120;;1.8553;224;0.034482758620689655;Regal;0.19193020719738277;0.5263157894736842;0.25;0.004365637186985186;
121;121;;-11.3682;224;0.0;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.009185011863715167;
122;122;;11.722999999999999;225;0.0;Esstisch;0.0005452562704471102;0.0;0.625;0.0025400700775210353;
