;simufile;cost_function;tau;baysur_slope;regr_intercept;sigmasqr
340;57;8.966930428143346;50;2.349210892032701;-0.005914026599204841;0.002996968725983739
341;57;35.859159390681775;100;2.066233266781429;0.0005760698772944578;0.011985013165334818
342;58;2979.288286562098;5;1.8356566242409964;0.08523827267857445;1.0298265767584163
343;58;3059.0637365248685;10;2.404047473358996;0.08526017946540024;1.0224143504428036
344;58;3056.843469549615;15;2.5214940332354896;0.08163311872046655;1.021672282603481
345;58;3055.642604149236;20;2.588944363900254;0.07761505745790973;1.0212709238466697
346;58;3061.282542620136;50;2.8780882701770745;0.05351691276766746;1.023155930020099
347;58;3093.844059254589;100;2.824921242205197;0.05272623868206863;1.0340387898578172
348;59;451094.0084413937;5;1.4840840781040203;1.0700521385352781;155.92603126214783
349;59;466425.55471933616;10;1.5786644031404802;0.8413666697447506;155.8908939569974
350;59;466404.6137764341;15;2.09767084753159;0.8293063231044964;155.8838949787547
351;59;466391.5784032559;20;2.3854031047608784;0.8206631717608635;155.87953823638233
352;59;466334.25072367454;50;3.7632504765102754;0.7662743252698797;155.86037791566662
353;59;466355.0000408965;100;4.547566263835263;0.7398105542806879;155.86731284789323
354;60;1058471.9208956356;5;5.181802058906206;-1.0424636212153924;365.87346038563277
355;60;1093973.437575994;10;6.529894252961068;-1.418118601819486;365.6328334144365
356;60;1093831.756995781;15;7.570145221702693;-1.443767820282176;365.5854802793386
357;60;1093724.9321227875;20;8.287596384007369;-1.4676153083094738;365.5497767790065
358;60;1093709.4279447242;50;9.659007203958414;-1.5576671895294254;365.54459490131154
359;60;1094490.0856361175;100;2.5447323275923264;-1.3537491011181915;365.8055099051195
360;61;2860.1947821846497;5;40.86841031131974;-5.084885818617705;0.98866048468187
361;61;1200.6849228766787;10;51.73931542370043;-5.035071723524792;0.4012984367903338
362;61;271.04956888566727;15;54.191394454385716;-5.111477068611837;0.09059143345109194
363;61;1.3602913520632295e-22;20;55.42102280944438;-5.192797809445784;4.5464239166661376e-26
364;61;5604.3315175895805;50;58.73027230081751;-5.625250664980282;1.8731054537398337
365;61;22411.97461917612;100;51.655831669535694;-5.462998253067834;7.490633228334264
366;62;5651.512293016914;5;41.3813202795104;-5.254817747121363;1.9535127179457012
367;62;4118.551482216148;10;52.41739743424546;-5.136125603179139;1.3765212173182315
368;62;3192.750891334843;15;54.880170721544246;-5.21306265125626;1.0670958861413244
369;62;2921.09206749607;20;56.12057366250895;-5.29530590173204;0.9763008246978842
370;62;8573.13212300301;50;59.562879941329435;-5.735860867878429;2.8653516453887065
371;62;25844.6700926541;100;52.41898619033721;-5.5722267445145475;8.637924496207921
372;63;429523.5093991221;5;35.756928908009414;-7.6837755842450886;148.46993065991086
373;63;439580.95263297675;10;47.564267610998606;-7.166622323733509;146.91876759123554
374;63;438427.33494721283;15;50.124053806434155;-7.243555236340885;146.533200182892
375;63;437798.8964107607;20;51.593526034856175;-7.326373114838814;146.32316056509381
376;63;441158.697540408;50;56.223869261003316;-7.773834696318106;147.44608875013637
377;63;456228.9772321745;100;50.12599138569512;-7.63859989748276;152.48294693588718
378;64;1043980.5438954185;5;39.92351009146079;-7.99742929627287;360.86434286049723
379;64;1080422.2918246537;10;49.83511811921105;-8.333636619046164;361.1037071606463
380;64;1078218.140058393;15;53.25296878518856;-8.430359924736365;360.36702542058583
381;64;1076867.374960418;20;55.315908262090446;-8.529829534925506;359.91556649746593
382;64;1079309.295222665;50;61.61762776730745;-9.048300758002153;360.7317163177356
383;64;1096280.5844660017;100;56.96807896706105;-8.960651190995968;366.40393865842304
384;65;8322.567808726799;5;-29.28295466793625;2.3926716223377955;2.8767949563521604
385;65;6710.906676952081;10;-37.069723615483156;2.410157789651792;2.2429500925641985
386;65;5165.89359103105;15;-39.95156571848083;2.489540865167113;1.7265687135798964
387;65;3834.8590256526136;20;-42.08749158891438;2.5776272108162734;1.281704219803681
388;65;7.425413322336412e-22;50;-52.91869115426638;3.1469161542678936;2.481755029979826e-25
389;65;7523.621461714498;100;-58.309766862486015;3.3511327063463665;2.5145793655462896
390;66;11012.619772046677;5;-29.478821259118163;2.457426245548239;3.80664354374237
391;66;9545.600777997834;10;-37.295679239883455;2.447104764827691;3.1903745915768167
392;66;8041.786409725241;15;-40.13299911271639;2.525611793378467;2.6877628374750135
393;66;6749.14182305091;20;-42.227137161829226;2.6129199028846255;2.255729218934128
394;66;3085.6982841020845;50;-52.88100038672216;3.1779216840509505;1.0313162714244934
395;66;10640.428518114908;100;-58.195876293581556;3.379837670673807;3.5562929539154102
396;67;450105.70842959895;5;-27.648423572008223;7.199322591399033;155.58441356017937
397;67;467801.78426741576;10;-31.949365193015357;7.162717630878077;156.35086372574057
398;67;466801.2054909332;15;-34.25540859774343;7.227242739050344;156.01644568547232
399;67;465857.7341700625;20;-36.044914965500084;7.3018114888673775;155.70111436165192
400;67;463334.19104696385;50;-44.953328745989666;7.778717734602807;154.85768417345048
401;67;470162.4834594399;100;-46.6002154431776;7.864849658901552;157.13986746639034
402;68;1120011.8293325533;5;-21.625872735960073;2.1327651109405643;387.1454646846019
403;68;1157243.998651759;10;-29.16118466067767;1.5643863276374261;386.77941131409057
404;68;1155291.6092519825;15;-32.71730437597578;1.6550687326556468;386.12687474999416
405;68;1153421.766578612;20;-35.666796814860355;1.7546736019309277;385.50192733242375
406;68;1146133.779690855;50;-50.31459031076658;2.3954858311690894;383.0661028378526
407;68;1149058.559035153;100;-62.08691820188099;2.787608358661404;384.0436360411607
408;69;13.316108493962835;5;-1.1713181867174476;0.3148028648935117;0.004602871930163441
409;69;10.737450683123363;10;-1.4827889446193239;0.315502311586071;0.0035887201481027277
410;69;8.265429745649676;15;-1.5980626287392325;0.31867763460668164;0.002762509941727832
411;69;6.135774441044186;20;-1.6834996635565747;0.3222010884326518;0.0020507267516858907
412;69;4.306698765752074e-25;50;-2.1167476461706536;0.3449726461707085;1.4393930471793138e-28
413;69;12.037794338743236;100;-2.332390674499445;0.35314130825388546;0.004023326984874076
414;70;2811.7084831535158;5;-0.9048415769393953;0.35945431561526786;0.9719006163683083
415;70;2918.1624659338536;10;-1.0942769288345122;0.33097453565596124;0.9753216797907265
416;70;2917.2286575347516;15;-1.1647413747619322;0.3329979657008564;0.9750095780530587
417;70;2916.0873741983387;20;-1.2273619464631795;0.3355740332727908;0.97462813308768
